order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,revenue,delivery_days,review_score,delivery_days_fixed,is_timeline_anomaly
3d55d21468e5f69fdaa6a1c4c829acff,6c23c2a15ab0cbdee56f601555c43969,delivered,11/26/2017 22:27,11/26/2017 22:37,11/30/2017 23:02,12/11/2017 14:36,12/18/2017 0:00,d4a3bfd9f560865856f1c2d8420a5569,16202,birigui,SP,1.0,7c1bd920dbdf22470b68bde975dd3ccf,cc419e0650a3c5ba77189a1882b7556a,12/3/2017 22:37,58.99,13.43,beleza_saude,59.0,492.0,2.0,200.0,22.0,10.0,18.0,health_beauty,72.42,14.0,3.0,14.7,False
6496123f97cc047a754312e1de27f81f,cb9ab1758a70183fb6920f7e0f9a2805,delivered,2/15/2018 22:09,2/16/2018 23:30,2/21/2018 14:43,3/15/2018 21:16,3/9/2018 0:00,448efcf5726e932fa4b8e5e11898aa49,74815,goiania,GO,2.0,51ce083cd2b9078656a94655ab45b8a4,da8622b14eb17ae2831f4ac5b9dab84a,2/21/2018 22:30,199.9,25.11,cama_mesa_banho,60.0,264.0,1.0,2450.0,41.0,8.0,36.0,bed_bath_table,225.01,27.0,4.0,28.0,False
70c63ecc0f8619ac9ebb83fd52466e64,2e9a3c93d2ff06bffa5cfa7201ab1ec7,delivered,6/29/2018 18:39,6/29/2018 18:50,7/4/2018 15:18,7/9/2018 15:49,7/27/2018 0:00,ee053c87e7fb771f1326ad7f8592c28e,73368,brasilia,DF,1.0,e0d64dcfaa3b6db5c54ca298ae101d05,7d13fca15225358621be4086e1eb0964,7/5/2018 18:50,155.0,19.19,relogios_presentes,35.0,514.0,2,4338.0,17.0,12.0,14.0,watches_gifts,174.19,9.0,4.0,9.9,False
6b17276ebb8c2bcae9b571b0f68d787c,ba27b7454fd88b454efdc2c21880225b,delivered,11/5/2017 18:41,11/5/2017 19:50,11/6/2017 20:05,11/22/2017 19:31,11/29/2017 0:00,e68adbdac93c15c8035827ac6634ad0e,37478,soledade de minas,MG,1.0,c15c05beb23ff0f89b50e98c810dbc03,febab0275244b9a49a623f0bd613ca2f,11/9/2017 19:50,29.9,16.11,utilidades_domesticas,58.0,391.0,1.0,950.0,45.0,20.0,25.0,housewares,46.01,17.0,5.0,17.0,False
9a142fefa71ded6bdc21817299f5ab7c,7dcd626576af9555424051dbdb01cb5a,delivered,6/11/2018 16:10,6/11/2018 16:42,6/12/2018 12:28,6/22/2018 14:41,7/24/2018 0:00,7c0b4f7719caf8b29a4c8dbd5a1446c9,77370,natividade,TO,1.0,9f2597e311355defa12f1491420d40d5,888faa8bfb0b159c37de6d898b961c31,6/15/2018 16:42,349.9,85.37,esporte_lazer,26.0,2174.0,3,4236.0,68.0,20.0,23.0,sports_leisure,435.27,10.0,4.0,10.9,False
9c94a4ea2f7876660fa6f1b59b69c8e6,22e922696a7d1ab9a19c6b702fedc387,shipped,3/14/2017 19:23,3/14/2017 19:23,3/16/2017 14:31,,8/4/2017 0:00,b030929cf3b8c3370ea8c611f9ccb32e,71905,brasilia,DF,1.0,282b126b2354516c5f400154398f616d,7a241947449cc45dbfda4f9d0798d9d0,2/3/2020 20:23,75.99,14.7,utilidades_domesticas,48.0,2396.0,2,3700.0,20.0,20.0,20.0,housewares,90.69,,1.0,,False
a0ef346fe1ea82e048e965ab6c20623b,aac7996cd5a3e93ba06ebbc0ead5a3df,delivered,2/15/2018 17:38,2/15/2018 17:50,2/16/2018 23:40,2/19/2018 17:29,3/2/2018 0:00,038ef20f6de6a3294fb0e4e380f2b2a2,11045,santos,SP,1.0,75b1af479ceb5b90e06b38ff4f753e1e,f12ff17ad8bbf01ec5c33b17e506649b,2/21/2018 16:50,780.0,18.02,automotivo,48.0,686.0,2,1950.0,20.0,20.0,20.0,auto,798.02,3.0,5.0,4.0,False
216989f6666b80d7bc876ac4b2dd5458,0f2ca4b01fe28974bdd279adab53acdd,delivered,5/23/2018 14:43,5/23/2018 14:55,5/23/2018 17:20,6/6/2018 19:38,6/20/2018 0:00,9e820807acc76b495c519f8034b74edc,29055,vitoria,ES,1.0,72bc7a3072eb84fd69d8e220fb7dbfaf,f789d2c4f2c2eb38fc4373e7a4b35264,5/25/2018 14:55,189.99,23.04,pet_shop,53.0,530.0,4.0,500.0,27.0,9.0,27.0,pet_shop,213.03,14.0,5.0,14.2,False
186d50e82bb60fc547f3dbf7aa6f6f8a,ff0a44202beb5310644a0ea439973f4d,delivered,8/19/2018 11:28,8/20/2018 16:50,8/21/2018 19:01,8/27/2018 14:11,8/28/2018 0:00,3fbdb765b8e1d5608f2621ef4b8ab863,4537,sao paulo,SP,1.0,bb42f37fc3d9130e4a4339d24a47dd7c,da8622b14eb17ae2831f4ac5b9dab84a,8/24/2018 16:50,44.9,8.47,cama_mesa_banho,59.0,81.0,1,400.0,20.0,2.0,15.0,bed_bath_table,53.37,8.0,3.0,8.1,False
69f7357c456d8072ad6671becb0f55a5,dcd82b51ed72861d202f5dc8b3ac8a19,delivered,4/30/2018 20:06,5/1/2018 2:53,5/3/2018 16:09,5/18/2018 19:47,5/17/2018 0:00,34f92366f52d2b66d66c5766e15c4e3d,2757,sao paulo,SP,1.0,abc3c2e40b0c9b7b115a96bc6c919ae1,02dcd3e8e25bee036e32512bcf175493,5/7/2018 2:53,99.0,18.27,papelaria,47.0,484.0,1.0,1050.0,21.0,10.0,16.0,stationery,117.27,17.0,5.0,18.0,False
